,username,date,review_text
71,Jen,1765929600000,Fast-paced and a lot of fun. I enjoyed the humor. Reminded me a little of the works of Douglas Adams and Terry Pratchett. fiction-science humor
72,Maya,1765929600000,Beep beep boop boop 1 like
73,Carolyn,1765843200000,audibook. I came to like this Security bot more and more as he narrated this tale. explaining the economic structure and his own unique problems little b6 little as you go along
74,Becky Rupnow,1765843200000,"Basically the novella version of ""You fucked up a perfectly good security robot is what you did. Look at it, it's got anxiety!"" Very enjoyable all around, Murderbot is extremely relatable, and I always enjoy the trope of non-humans finding themselves being uncomfortably and perfectly human, especially when they try really hard not to. Excited to continue with these! 1 like"
75,Mitchell Rey,1765843200000,"quick, entertaining and funny"
76,Anna,1765843200000,"Gang, is it weird to relate to the part-human-part-robot that aptly calls itself Murderbot, is uncomfortable interacting with humans, and loves watching tv?? This was lots of fun with high stakes, tension, action, and character exploration and relationship building for being so short. Lovely to read in one night. 2025-reads dystopian-sci-fi home-library ...more 1 like 1 comment"
77,Amelie,1765843200000,What a great introduction to the world of novellas!!
78,Paulina,1765843200000,"A fun sci-fi following a bot who’s autonomous and surprisingly not killing anyone. The MC is a bot who just wants to watch TV, but needs to continue to act normal to avoid raising suspicion. The introduction to this series is charming and feels like watching the first episode of a good series. I’m excited to see what topics it’ll touch on throughout the series! 1 like"
79,Zeke,1765843200000,Quick. Simple. Funny. Entertaining. Interesting. Will continue! 2 likes 1 comment
80,Jacee,1765843200000,👏👏👏
81,Cara Schwartz,1765843200000,4.5
82,Kayla Fernandez,1765843200000,"Sci-fi is not my fav genre and this one was hard to follow at times, but I do enjoy stories that humanize robots. I may need to read a few more in the series."
